ts,action,side,requested_position_ratio,filled_position_ratio,price,fee,slippage,notional,margin_required,realized_pnl,reason_code
2026-01-15 11:00:00+00:00,HOLD,LONG,0.051949952542781834,0.051949952542781834,96782.45262000001,0.00020279962034225468,2.0,1.0389990508556366,0.051949952542781834,0.0,HOLD_SLOW_UP_RUNNER
2026-01-15 12:00:00+00:00,HOLD,LONG,0.05265040695667267,0.05265040695667267,96568.20977999999,0.00020840325565338135,2.0,1.0530081391334534,0.05265040695667267,0.0,HOLD_SLOW_UP_RUNNER
2026-01-15 13:00:00+00:00,HOLD,LONG,0.05299937129020691,0.05299937129020691,96950.68626,0.0002111949703216553,2.0,1.0599874258041382,0.05299937129020691,0.0,HOLD_SLOW_UP_RUNNER
2026-01-15 14:00:00+00:00,HOLD,LONG,0.05257679373025895,0.05257679373025895,96820.26018,0.0002078143498420716,2.0,1.0515358746051788,0.05257679373025895,0.0,HOLD_SLOW_UP_RUNNER
2026-01-15 15:00:00+00:00,HOLD,LONG,0.05210509151220322,0.05210509151220322,96032.80272,0.00020404073209762572,2.0,1.0421018302440643,0.05210509151220322,0.0,HOLD_SLOW_UP_RUNNER
2026-01-15 16:00:00+00:00,HOLD,LONG,0.05708942711353302,0.05708942711353302,96736.64346,0.0002439154169082642,2.0,1.1417885422706604,0.05708942711353302,0.0,HOLD_SLOW_UP_RUNNER
2026-01-15 17:00:00+00:00,HOLD,LONG,0.05649635046720505,0.05649635046720505,96704.03693999999,0.00023917080373764046,2.0,1.129927009344101,0.05649635046720505,0.0,HOLD_SLOW_UP_RUNNER
2026-01-15 18:00:00+00:00,HOLD,LONG,0.056924243271350865,0.056924243271350865,96606.71747999999,0.00024259394617080692,2.0,1.1384848654270172,0.056924243271350865,0.0,HOLD_SLOW_UP_RUNNER
2026-01-15 19:00:00+00:00,HOLD,LONG,0.05765244066715241,0.05765244066715241,95825.96136,0.00024841952533721925,2.0,1.153048813343048,0.05765244066715241,0.0,HOLD_SLOW_UP_RUNNER
2026-01-15 20:00:00+00:00,CLOSE,FLAT,0.0,0.0,95469.2,0.00021280000000000002,0.0,0.0,0.0,0.0,CLOSE_SLOW_UPTREND_BROKEN
2026-01-15 21:00:00+00:00,OPEN_LONG,LONG,0.05631747841835022,0.05631747841835022,95239.84416000001,0.00045053982734680176,2.0,1.1263495683670044,0.05631747841835022,0.0,OPEN_LONG_SIGNAL
2026-01-15 22:00:00+00:00,REDUCE,LONG,0.02815873920917511,0.02815873920917511,95564.40906,0.00022526991367340088,2.0,0.5631747841835022,0.02815873920917511,0.0,REDUCE_LONG_DOWNTREND_RISK
2026-01-15 23:00:00+00:00,REDUCE,LONG,0.014079369604587555,0.014079369604587555,95555.40726,0.00011263495683670044,2.0,0.2815873920917511,0.014079369604587555,0.0,REDUCE_LONG_DOWNTREND_RISK
2026-01-16 00:00:00+00:00,REDUCE,LONG,0.0070396848022937775,0.0070396848022937775,95586.51348,5.631747841835022e-05,2.0,0.14079369604587555,0.0070396848022937775,0.0,REDUCE_LONG_DOWNTREND_RISK
2026-01-16 01:00:00+00:00,REDUCE,LONG,0.0035198424011468887,0.0035198424011468887,95608.71792000001,2.815873920917511e-05,2.0,0.07039684802293777,0.0035198424011468887,0.0,REDUCE_LONG_DOWNTREND_RISK
2026-01-16 02:00:00+00:00,REDUCE,LONG,0.0017599212005734444,0.0017599212005734444,95642.82474,1.4079369604587555e-05,2.0,0.03519842401146889,0.0017599212005734444,0.0,REDUCE_LONG_DOWNTREND_RISK
2026-01-16 03:00:00+00:00,REDUCE,LONG,0.0008799606002867222,0.0008799606002867222,95488.49388,7.0396848022937775e-06,2.0,0.017599212005734444,0.0008799606002867222,0.0,REDUCE_LONG_DOWNTREND_RISK
2026-01-16 04:00:00+00:00,REDUCE,LONG,0.0004399803001433611,0.0004399803001433611,95338.66392,3.5198424011468888e-06,2.0,0.008799606002867222,0.0004399803001433611,0.0,REDUCE_LONG_DOWNTREND_RISK
2026-01-16 05:00:00+00:00,CLOSE,FLAT,0.0,0.0,95233.4,3.5198424011468888e-06,0.0,0.0,0.0,0.0,CLOSE_MAX_HOLD_BARS
2026-01-16 06:00:00+00:00,HOLD,FLAT,0.0,0.0,95615.9,0.0,0.0,0.0,0.0,0.0,HOLD_NO_ENTRY
