time,open,high,low,close,volume,quote_volume,trades,taker_buy_base,taker_buy_quote,close_time,amount
2025-11-24 09:00:00+00:00,86916.4,86916.4,85760.0,85913.7,10392.66,895130488.2524,260201,4559.626,392630744.4523,2025-11-24 09:59:59.999000+00:00,895130488.2524
2025-11-24 10:00:00+00:00,85913.8,86164.7,85654.1,86017.1,6800.987,584088145.3587,180038,3328.304,285897450.1084,2025-11-24 10:59:59.999000+00:00,584088145.3587
2025-11-24 11:00:00+00:00,86017.1,86409.3,85796.2,86232.5,4189.21,360959060.5404,138536,2225.195,191727117.1429,2025-11-24 11:59:59.999000+00:00,360959060.5404
2025-11-24 12:00:00+00:00,86232.5,86290.0,85840.0,85967.3,5965.959,513267369.5758,181236,2931.699,252232486.7274,2025-11-24 12:59:59.999000+00:00,513267369.5758
2025-11-24 13:00:00+00:00,85967.2,86544.2,85919.0,86114.7,6591.232,568913576.1305,184683,3546.916,306140869.385,2025-11-24 13:59:59.999000+00:00,568913576.1305
2025-11-24 14:00:00+00:00,86114.7,86634.1,85226.4,86128.0,18662.051,1601689683.0531,513409,8300.869,712668386.3982,2025-11-24 14:59:59.999000+00:00,1601689683.0531
2025-11-24 15:00:00+00:00,86127.9,86700.0,85858.8,86571.0,16200.568,1399406975.106,434765,8418.147,727267556.4381,2025-11-24 15:59:59.999000+00:00,1399406975.106
2025-11-24 16:00:00+00:00,86571.1,87678.7,86571.0,87123.2,15634.382,1362529203.0856,366002,8184.749,713277256.9262,2025-11-24 16:59:59.999000+00:00,1362529203.0856
2025-11-24 17:00:00+00:00,87123.3,88402.7,86888.0,88314.9,14748.332,1294102203.3699,335473,7846.48,688614584.9514,2025-11-24 17:59:59.999000+00:00,1294102203.3699
2025-11-24 18:00:00+00:00,88315.0,88669.6,88128.4,88658.9,11677.785,1032244172.5829,285637,5583.324,493603379.1305,2025-11-24 18:59:59.999000+00:00,1032244172.5829
2025-11-24 19:00:00+00:00,88658.8,88788.0,87990.7,88277.0,9393.469,831051955.5903,230296,3919.36,346892149.5115,2025-11-24 19:59:59.999000+00:00,831051955.5903
2025-11-24 20:00:00+00:00,88277.1,89177.3,88277.1,89018.7,11481.904,1019306448.9703,247997,6799.288,603602793.3845,2025-11-24 20:59:59.999000+00:00,1019306448.9703
2025-11-24 21:00:00+00:00,89018.6,89073.3,88670.0,88713.3,4489.722,399021865.3116,133987,1936.012,172059153.1745,2025-11-24 21:59:59.999000+00:00,399021865.3116
2025-11-24 22:00:00+00:00,88713.3,89053.3,88548.6,88584.7,3532.581,313674433.63,90304,1393.333,123732596.0527,2025-11-24 22:59:59.999000+00:00,313674433.63
2025-11-24 23:00:00+00:00,88584.7,88650.5,88205.3,88247.1,4691.421,414644242.6983,97643,1602.874,141709857.9107,2025-11-24 23:59:59.999000+00:00,414644242.6983
2025-11-25 00:00:00+00:00,88247.1,88247.1,87825.0,88057.9,5747.562,505920633.5797,152744,2446.711,215413603.5339,2025-11-25 00:59:59.999000+00:00,505920633.5797
2025-11-25 01:00:00+00:00,88058.0,88172.6,87666.0,87687.5,4813.754,423248008.4546,138000,2471.121,217310764.4468,2025-11-25 01:59:59.999000+00:00,423248008.4546
2025-11-25 02:00:00+00:00,87687.6,87900.0,87378.8,87864.4,5197.445,455597399.0437,145092,2357.024,206654312.0068,2025-11-25 02:59:59.999000+00:00,455597399.0437
2025-11-25 03:00:00+00:00,87864.3,88014.2,87500.0,87775.1,3955.216,347075712.1102,109607,2334.084,204840919.1979,2025-11-25 03:59:59.999000+00:00,347075712.1102
2025-11-25 04:00:00+00:00,87775.0,88477.6,87739.6,88298.9,5461.34,481247319.953,129828,3414.121,300849548.4986,2025-11-25 04:59:59.999000+00:00,481247319.953
2025-11-25 05:00:00+00:00,88298.9,88299.0,87884.1,88078.3,2521.941,222234137.8541,84074,1217.739,107319581.5424,2025-11-25 05:59:59.999000+00:00,222234137.8541
2025-11-25 06:00:00+00:00,88078.3,88110.1,87757.8,87963.8,2699.732,237391814.5036,89904,1263.401,111100730.897,2025-11-25 06:59:59.999000+00:00,237391814.5036
2025-11-25 07:00:00+00:00,87963.8,88022.2,87240.0,87362.2,6381.878,559060887.7461,139350,2828.057,247818248.1391,2025-11-25 07:59:59.999000+00:00,559060887.7461
2025-11-25 08:00:00+00:00,87362.2,87585.7,86959.9,86978.6,6424.0,560631251.7521,165176,2673.821,233441401.2408,2025-11-25 08:59:59.999000+00:00,560631251.7521
2025-11-25 09:00:00+00:00,86978.6,87218.3,86628.4,87194.3,9531.828,828215203.193,222169,4501.849,391262514.143,2025-11-25 09:59:59.999000+00:00,828215203.193
